Код,Наименование,М1,М2,М3,М4,М5,М6,М7,М8,М9,М10,М11,М12,М13,М14,М15,М16,М17,М18,М19,М20,М21,М22,М23,М24,М25,М26,М27,"Цена, руб"
1069706,Кабель OTG DEXP mini USB - USB черный 0.15 м,М1,М2,М3,М4,,М6,М7,М8,М9,М10,М11,М12,М13,,М15,М16,М17,М18,М19,М20,М21,М22,М23,М24,М25,М26,М27,190
1137357,Кабель OTG DEXP USB Type-C - USB белый 0.15 м,М1,М2,М3,М4,М5,М6,М7,М8,М9,М10,М11,М12,М13,М14,М15,М16,М17,М18,М19,,М21,М22,М23,М24,М25,М26,М27,250
1137410,Кабель OTG DEXP USB Type-C - USB желтый 0.15 м,,,,,,,,,,М10,,,,М14,,,,,,,,,,М24,,,,250
1138171,Кабель OTG DEXP USB Type-C - USB зеленый 0.15 м,,,,,М5,,,,,,,М12,М13,М14,М15,,,,,,М21,,,М24,,,,250
1137358,Кабель OTG DEXP USB Type-C - USB оранжевый 0.15 м,,,,,,,,,,,,,М13,М14,,,,,,М20,,М22,,М24,,,М27,250
1097185,Кабель OTG DEXP USB Type-C - USB серебристый 0.1 м,М1,М2,М3,М4,М5,М6,М7,М8,М9,М10,М11,М12,М13,М14,М15,М16,М17,,М19,М20,М21,М22,М23,М24,М25,М26,М27,350
1137411,Кабель OTG DEXP USB Type-C - USB фиолетовый 0.15 м,,,,,,,,,,,,,,М14,,,,,,,,,,М24,,,М27,250
1137356,Кабель OTG DEXP USB Type-C - USB черный 0.15 м,М1,М2,М3,М4,М5,М6,М7,М8,М9,М10,М11,М12,М13,М14,М15,М16,М17,М18,М19,,М21,,М23,М24,М25,М26,М27,250
1001401,Кабель OTG InterStep 30-pin Samsung - USB черный 0.1 м,,,,,,,,,,,М11,,,,,,,,,,М21,,,М24,,,,170
195756,Кабель OTG InterStep micro USB-B - USB черный 0.15 м,,,,,,,,,,,,,,,,,,,,,,,,М24,,,,350
1072760,Кабель OTG InterStep micro USB - USB черный 0.15 м,,,,,,,,,,,,М12,,М14,,,,,,,,,,,,,,250
1030993,Кабель OTG Partner mini USB - USB черный 0.15 м,М1,,,М4,,М6,М7,,,,,,М13,,,,,,,,,,,М24,,,,250
1048632,Переходник DEXP micro USB - USB черный,М1,М2,М3,М4,М5,М6,М7,М8,М9,М10,М11,М12,,М14,М15,М16,М17,М18,М19,М20,М21,М22,М23,М24,М25,М26,М27,210
1048633,Переходник DEXP mini USB - USB черный,,М2,,М4,,,,,М9,,,М12,М13,,,М16,,,,М20,,М22,,,,М26,,99
